,brand,name,bodyType,color,fuelType,year,mileage,transmission,power,price,vehicleConfiguration,engineName,engineDisplacement,location,parse_date
500,Toyota,Mark II,sedan,whitemixblack,GasolineMixBlack,,231000.0,AT,160.0,451000,,,,"Hạ Long, Quảng Ninh, Việt Nam",2022-09-23 05:00:00
690,Toyota,Prius,liftback,whitemixblack,GasolineMixBlack,,210000.0,CVT,76.0,561000,,,,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-09-23 06:00:00
644,Toyota,Alphard,minivan,,GasolineMixBlack,2018.0,169000.0,CVT,152.0,3310000,Hybrid 2.5 X 4WD (7 Seater),2AR-FXE,2.5 LTR,"Ba Đình, Hà Nội, Việt Nam",2022-09-23 07:00:00
734,Mazda,Axela,sedan,grey,GasolineMixBlack,2016.0,66000.0,AT,111.0,1261000, 1.5 15S PROACTIVE,P5-VPS,1.5 LTR,"Hạ Long, Quảng Ninh, Việt Nam",2022-09-23 08:00:00
351,Audi,A6,sedan,whitemixblack,GasolineMixBlack,2011.0,211000.0,CVT,180.0,1410000,2.0 TFSI Multitronic,CDNB,2.0 LTR,"Đông Triều, Quảng Ninh, Việt Nam",2022-09-23 08:00:00
466,Toyota,Vellfire,minivan,black,GasolineMixBlack,,199000.0,CVT,152.0,3311000,,,,"Hai Bà Trưng, Hà Nội, Việt Nam",2022-09-23 10:00:00
303,BMW,X3,jeep 5 doors,whitemixblack,Diesel,2019.0,71000.0,AT,326.0,4591000,M40d,B57D30B,3.0 LTR,"Hai Bà Trưng, Hà Nội, Việt Nam",2022-09-23 14:00:00
212,Land Rover,Range Rover,jeep 5 doors,whitemixblack,GasolineMixBlack,2012.0,35000.0,AT,510.0,4681000,5.0 S/C AT Vogue SE ,508PS,5.0 LTR,"Ba Đình, Hà Nội, Việt Nam",2022-09-23 14:00:00
555,Nissan,Juke,jeep 5 doors,grey,GasolineMixBlack,2010.0,161000.0,CVT,190.0,710000,1.6 16GT,MR16DDT,1.6 LTR,"Uông Bí, Quảng Ninh, Việt Nam",2022-09-23 15:00:00
156,Toyota,Wish,minivan,burgundy,GasolineMixBlack,2010.0,73000.0,CVT,144.0,959999,1.8 X HID selection,2ZR-FAE,1.8 LTR,"Hoàng Mai, Hà Nội, Việt Nam",2022-09-23 16:00:00
184,Toyota,Prius,liftback,black,GasolineMixBlack,2015.0,115000.0,CVT,98.0,1155000, 1.8 S,2ZR-FXE,1.8 LTR,"Hải Phòng, Hải Phòng, Việt Nam",2022-09-23 16:00:00
3,Mercedes-Benz,G-Class,jeep 5 doors,black,GasolineMixBlack,2002.0,210000.0,AT,296.0,2999999,G 500,M 113 E 50,5.0 LTR,"Hai Bà Trưng, Hà Nội, Việt Nam",2022-09-23 16:00:00
609,Nissan,Pulsar,sedan,grey,GasolineMixBlack,,161000.0,Manual,94.0,41000,,,,"Ba Đình, Hà Nội, Việt Nam",2022-09-23 17:00:00
750,Toyota,Carina,sedan,grey,Diesel,1998.0,266000.0,AT,94.0,271000,2.2DT Ti,3C-TE,2.2 LTR,"Đông Triều, Quảng Ninh, Việt Nam",2022-09-23 17:00:00
441,Toyota,Estima,minivan,whitemixblack,GasolineMixBlack,2009.0,141000.0,CVT,170.0,515000,2.4 G,2AZ-FE,2.4 LTR,"Hoàng Mai, Hà Nội, Việt Nam",2022-09-23 17:00:00
793,Toyota,Land Cruiser Prado,jeep 5 doors,black,GasolineMixBlack,2009.0,161000.0,AT,163.0,2210000,2.7 AT,2TR-FE,2.7 LTR,"Ba Đình, Hà Nội, Việt Nam",2022-09-23 18:00:00
55,Honda,CR-V,jeep 5 doors,grey,GasolineMixBlack,2000.0,258000.0,AT,150.0,321000,2.0 Performa,B20B,2.0 LTR,"Hải Phòng, Hải Phòng, Việt Nam",2022-09-23 18:00:00
24,Toyota,Harrier,jeep 5 doors,blue,GasolineMixBlack,2014.0,101000.0,CVT,152.0,2145000,2.5 Hybrid E-Four Premium Advanced Package,2AR-FXE,2.5 LTR,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",2022-09-23 19:00:00
142,Nissan,AD,station wagon,whitemixblack,GasolineMixBlack,2000.0,171000.0,AT,87.0,171000,1.3 VE,QG13DE,1.3 LTR,"Quận 8, Thành phố Hồ Chí Minh, Việt Nam",2022-09-23 19:00:00
471,Nissan,Terrano,jeep 5 doors,silver,Diesel,,198000.0,AT,100.0,371000,,,,"Đông Triều, Quảng Ninh, Việt Nam",2022-09-23 19:00:00
785,Honda,Insight,liftback,black,GasolineMixBlack,2011.0,210000.0,CVT,111.0,731000,1.5 Exclusive XL InterNavi Select,LEA,1.5 LTR,"Đông Triều, Quảng Ninh, Việt Nam",2022-09-23 20:00:00
625,Toyota,Vitz,hatchback 5 doors,whitemixblack,GasolineMixBlack,2010.0,110000.0,CVT,109.0,715000,1.5 RS C package,1NZ-FE,1.5 LTR,"Hai Bà Trưng, Hà Nội, Việt Nam",2022-09-23 21:00:00
868,Nissan,X-Trail,jeep 5 doors,black,GasolineMixBlack,2015.0,124000.0,CVT,147.0,1435000,2.0 20X Emergency Brake Package 5-seat 4WD,MR20DD,2.0 LTR,"Quận 8, Thành phố Hồ Chí Minh, Việt Nam",2022-09-23 23:00:00
266,Subaru,Forester,jeep 5 doors,black,GasolineMixBlack,2007.0,181000.0,AT,220.0,721000,2.0 Cross Sports T,EJ20,2.0 LTR,"Ba Đình, Hà Nội, Việt Nam",2022-09-24 09:00:00
416,Nissan,Avenir,station wagon,,Diesel,,133000.0,Manual,76.0,77000,,,,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-09-24 20:00:00
561,Daihatsu,Move Conte,hatchback 5 doors,whitemixblack,GasolineMixBlack,2012.0,78000.0,CVT,52.0,405000,660 custom X,KF,0.7 LTR,"Móng Cái, Quảng Ninh, Việt Nam",2022-09-24 20:00:00
581,Nissan,Juke,jeep 5 doors,black,GasolineMixBlack,2012.0,92000.0,CVT,114.0,791000,1.5 15RX type V,HR15DE,1.5 LTR,"Đông Triều, Quảng Ninh, Việt Nam",2022-09-24 22:00:00
343,Toyota,Harrier,jeep 5 doors,grey,GasolineMixBlack,,165000.0,AT,160.0,951000,,,,"Cầu Giấy, Hà Nội, Việt Nam",2022-09-24 22:00:00
929,Mazda,Demio,hatchback 5 doors,grey,GasolineMixBlack,,165000.0,AT,91.0,351000,,,,"Hai Bà Trưng, Hà Nội, Việt Nam",2022-09-24 22:00:00
440,Toyota,Corolla Fielder,station wagon,grey,GasolineMixBlack,,91000.0,CVT,133.0,817000,,,,"Long Biên, Hà Nội, Việt Nam",2022-09-25 00:00:00
95,Honda,Stream,minivan,brown,GasolineMixBlack,2007.0,192000.0,AT,140.0,731000,1.8 RSZ,R18A,1.8 LTR,"Uông Bí, Quảng Ninh, Việt Nam",2022-09-25 02:00:00
409,Toyota,Mark II,sedan,grey,GasolineMixBlack,2000.0,321000.0,AT,200.0,671000,2.5 Grande iR-S,1JZ-FSE,2.5 LTR,"Hải Phòng, Hải Phòng, Việt Nam",2022-09-25 02:00:00
575,Honda,Fit,hatchback 5 doors,black,GasolineMixBlack,2009.0,93000.0,CVT,100.0,589000,1.3 G,L13A,1.3 LTR,"Quận 8, Thành phố Hồ Chí Minh, Việt Nam",2022-09-25 03:00:00
125,Honda,Fit,hatchback 5 doors,grey,GasolineMixBlack,,78000.0,CVT,100.0,791000,,,,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-09-25 03:00:00
558,Toyota,Aqua,hatchback 5 doors,silver,GasolineMixBlack,2017.0,111000.0,CVT,74.0,895000, 1.5 S Style Black,1NZ-FXE,1.5 LTR,"Móng Cái, Quảng Ninh, Việt Nam",2022-09-25 03:00:00
965,Toyota,Corolla Fielder,station wagon,grey,GasolineMixBlack,,51000.0,CVT,109.0,1081000,,,,"Thanh Xuân, Hà Nội, Việt Nam",2022-09-25 04:00:00
459,Toyota,Prius Alpha,minivan,whitemixblack,GasolineMixBlack,,221000.0,CVT,99.0,1100000,,,,"Uông Bí, Quảng Ninh, Việt Nam",2022-09-25 05:00:00
643,Toyota,Sienta,minivan,black,GasolineMixBlack,,121000.0,CVT,74.0,1110000,,,,"Hai Bà Trưng, Hà Nội, Việt Nam",2022-09-25 07:00:00
913,Dodge,Challenger,coupe,black,GasolineMixBlack,2018.0,17000.0,AT,305.0,3891000,3.6 AT SXT,Chrysler Pentastar ERB,3.6 LTR,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-09-25 07:00:00
83,Nissan,X-Trail,jeep 5 doors,whitemixblack,GasolineMixBlack,2017.0,75000.0,CVT,147.0,1621000,2.0 20X 7-seat,MR20DD,2.0 LTR,"Thanh Xuân, Hà Nội, Việt Nam",2022-09-25 08:00:00
385,Toyota,Land Cruiser,jeep 5 doors,black,Diesel,,281000.0,AT,235.0,2710000,,,,"Móng Cái, Quảng Ninh, Việt Nam",2022-09-25 09:00:00
746,Toyota,Camry,sedan,whitemixblack,GasolineMixBlack,,46000.0,CVT,178.0,2551000,,,,"Hai Bà Trưng, Hà Nội, Việt Nam",2022-09-25 11:00:00
152,Cadillac,Escalade,jeep 5 doors,,GasolineMixBlack,,111000.0,AT,409.0,5351000,,,,"Hải Phòng, Hải Phòng, Việt Nam",2022-09-25 13:00:00
168,Lexus,CT200h,hatchback 5 doors,whitemixblack,GasolineMixBlack,2010.0,141000.0,CVT,99.0,1199000,200h F sport,2ZR-FXE,1.8 LTR,"Uông Bí, Quảng Ninh, Việt Nam",2022-09-25 13:00:00
966,Hyundai,Santa Fe,jeep 5 doors,blue,Diesel,,44000.0,AT,202.0,2710000,,,,"Ba Đình, Hà Nội, Việt Nam",2022-09-25 13:00:00
631,Honda,Legend,sedan,black,GasolineMixBlack,2008.0,136000.0,AT,309.0,991000,3.7 4WD,J37A,3.7 LTR,"Hạ Long, Quảng Ninh, Việt Nam",2022-09-25 13:00:00
472,Subaru,Impreza,hatchback 5 doors,grey,GasolineMixBlack,,239000.0,Manual,110.0,451000,,,,"Uông Bí, Quảng Ninh, Việt Nam",2022-09-25 13:00:00
982,Mazda,CX-5,jeep 5 doors,black,Diesel,2017.0,31000.0,AT,175.0,1999999, 2.2 XD L Package Diesel Turbo 4WD,SH-VPTS,2.2 LTR,"Đông Triều, Quảng Ninh, Việt Nam",2022-09-25 13:00:00
931,Nissan,X-Trail,jeep 5 doors,,GasolineMixBlack,2017.0,51000.0,CVT,147.0,1695000,2.0 Mode Premier 5-seat 4WD,MR20DD,2.0 LTR,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-09-25 13:00:00
605,Toyota,Vellfire,minivan,grey,GasolineMixBlack,2010.0,137000.0,AT,280.0,649000,3.5 Z platina selection II 4WD,2GR-FE,3.5 LTR,"Long Biên, Hà Nội, Việt Nam",2022-09-25 14:00:00
299,Mercedes-Benz,CLA-Class,sedan,black,GasolineMixBlack,2021.0,14000.0,Robot,150.0,3510000,CLA 200 DCT 4MATIC Sport,M 282 DE 14 AL,1.3 LTR,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",2022-09-25 15:00:00
585,Toyota,Land Cruiser Prado,jeep 5 doors,grey,GasolineMixBlack,2009.0,171000.0,AT,163.0,2231000,2.7 AT,2TR-FE,2.7 LTR,"Thanh Xuân, Hà Nội, Việt Nam",2022-09-25 17:00:00
363,Toyota,Prius,liftback,whitemixblack,GasolineMixBlack,2012.0,156000.0,CVT,99.0,810000,1.8 S,2ZR-FXE,1.8 LTR,"Hai Bà Trưng, Hà Nội, Việt Nam",2022-09-25 19:00:00
816,Honda,Grace,sedan,black,GasolineMixBlack,2017.0,81000.0,CVT,132.0,1100000,1.5 LX,L15B,1.5 LTR,"Đông Triều, Quảng Ninh, Việt Nam",2022-09-25 20:00:00
229,Honda,Fit,hatchback 5 doors,grey,GasolineMixBlack,2017.0,62000.0,CVT,100.0,1210000,1.3 13G F,L13B,1.3 LTR,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-09-25 20:00:00
209,Toyota,Venza,jeep 5 doors,black,GasolineMixBlack,2013.0,74000.0,AT,185.0,1851000,2.7 AT 4WD Престиж,1AR-FE,2.7 LTR,"Quận 8, Thành phố Hồ Chí Minh, Việt Nam",2022-09-25 21:00:00
629,Mitsubishi,Legnum,station wagon,whitemixblack,GasolineMixBlack,,151000.0,AT,150.0,231000,,,,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",2022-09-25 21:00:00
264,Lexus,GX460,jeep 5 doors,black,GasolineMixBlack,2009.0,199000.0,AT,301.0,3310000,4.6 Premium,1UR-FE,4.6 LTR,"Thanh Xuân, Hà Nội, Việt Nam",2022-09-25 23:00:00
214,Honda,Vezel,jeep 5 doors,black,GasolineMixBlack,2013.0,118000.0,Robot,132.0,1210000,1.5 Hybrid,LEB,1.5 LTR,"Hoàng Mai, Hà Nội, Việt Nam",2022-09-26 01:00:00
619,Toyota,Corolla Fielder,station wagon,grey,GasolineMixBlack,2010.0,137000.0,CVT,110.0,810000,1.5 X G edition,1NZ-FE,1.5 LTR,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",2022-09-26 01:00:00
907,Toyota,Alphard,minivan,,GasolineMixBlack,,1000.0,AT,220.0,539999,,,,"Ba Đình, Hà Nội, Việt Nam",2022-09-26 01:00:00
